tangram,utterance,gameId,trialNum,repNum,value,grouping
F,Sleeping man,y8EQv9bh29FEwLNLN,66,5,0.2825332639153041,"(0.268,0.375]"
G,"bottom is straight, small triangle hanging bottom left, top has a square",of4gY8Bu37PbmkPee,8,0,0.33576304708367616,"(0.268,0.375]"
H,"blobby man, no limbs",qww2u9HuGk9nxnxyx,54,4,0.3488980673641033,"(0.268,0.375]"
I,"it's a guy looking left with his foot behind him, like kicking up behind him",3WzEi9zkHF77vdTw5,11,0,0.3528010485296279,"(0.268,0.375]"
J,vertical line on the left from shoulder to floor - scarecrow,QeHxf8rJXN8MCSKYR,33,2,0.2732144054851547,"(0.268,0.375]"
K,"This one is really tricky to describe but it's tall and looks like two diamonds are stacked on top of each other for the top Then it looks like arms are maybe out to the right side like they are serving something or waiting to hold something, The bottom is pretty solid with no discernable legs",vb35TJcSHPpKxAzJo,6,0,0.3203059154919197,"(0.268,0.375]"
L,"facing right , squatting down bent knees and straight head holding something in front",R5N7KGPfkvFs36q7g,53,4,0.32846602115037477,"(0.268,0.375]"
A,this figure looks like it is walking,5wn4MiopXyfXuTxG9,59,4,0.39839344136836935,"(0.375,0.498]"
B,"girl with triangle hat on back of net with palms and feet extended, *neck, She has her hands out in front of her",TswNa6hfiGwkWHMgB,9,0,0.4482997751905691,"(0.375,0.498]"
C,Man asking what is happening with arms outstretched,wPKShK8DJjFJDPPC2,62,5,0.4935087524474465,"(0.375,0.498]"
D,"looks like a priest in a full length robe with toe peeping out to left, head straight",sijMDqp4oocvXG8Sv,13,1,0.3867071736340101,"(0.375,0.498]"
E,"This one looks like a a guy wearing a bunny head, square head, two triangles are ears looking down to the right, Body is sitting down, Or look for a square with two triangles on top",Tg2JqdT9ugXdkqWsC,8,0,0.3897171964676225,"(0.375,0.498]"
F,"seated, facing left, knees bent, one foot showing, yes, tree dude",acL8Dhxe4PDAn42od,27,2,0.48294636931014273,"(0.375,0.498]"
G,"yoga pose - one leg behind, facing rightwards, arm up in air, smaller leg foot in front on right side, head thrown back, yeah kind like a boot I guess",rshQ6tYBS22PNQeTe,21,1,0.4568904013649504,"(0.375,0.498]"
H,half hexagon left side of body,pAtG6vt3AyaJypa2j,55,4,0.4374245981010269,"(0.375,0.498]"
I,karate kick leg right,2nZ79PA8WMtYNqLrS,48,4,0.3866295702539896,"(0.375,0.498]"
J,square kinda looking figure arm out further than leg facingn right diamod head,6ikro5aNu98qHGGFL,38,3,0.3906986636925027,"(0.375,0.498]"
K,"facing right, kneeling in prayer position, straight back, small triangle upper back, feet up back, yes knees pointed",JmgdhSKRPPxDKvprr,24,2,0.488720119834211,"(0.375,0.498]"
L,facing right knees bent slightly holding a bowl,rTdgorcZpRzAdoR3G,46,3,0.4571359678892443,"(0.375,0.498]"
A,Kicking legs facing left,iWDET8rLPYMj9RE39,52,4,0.5025311396333277,"(0.498,0.651]"
B,arms in air kneeling,Z2WAkYpWiXwuGcdME,27,2,0.6395623265789667,"(0.498,0.651]"
C,"the guy is leaning left with his arms up kind of like ""but why""",FfK5QXXSw833vwHKX,8,0,0.6381895688209047,"(0.498,0.651]"
D,this one looks like a guy in a preacher robe with a tithe plate pointing to the left,voSMQaG9H4nC4jy32,5,0,0.5168814703733001,"(0.498,0.651]"
E,"triangle base that goes into a square, with the two triangles on top",2yTRgeWp8WH65rQQq,59,4,0.5843275547211649,"(0.498,0.651]"
F,"left facing, sitting",MR4xnrE8c4oCHmZX2,41,3,0.6400863606255801,"(0.498,0.651]"
G,the dancing image long horizontal bottom faced to the right hands and one leg is on the right sticking out,8ukdn7m9ypXhxpPR4,27,2,0.6356384470929348,"(0.498,0.651]"
H,"Standing figure, No legs, just purely block like, Diamond head leaning towards the right, No arms either, No ears, Has a triangle point out of the right side, Were it's foot would be",FDXJ7stbQxKCkcKzv,6,0,0.5765579463604692,"(0.498,0.651]"
I,"This is like someone in a chicken outfit, or doing woga, diamond head, then the chicken beak facing left, looks like a tail or someone standing on one leg with the other leg up behind them, yes 2 triangles going left",iHNnNCnSAx2TYjDhf,10,0,0.6108519432894378,"(0.498,0.651]"
J,"square head on an almost complete rectangle except for the 'missing bits on the right hand side) - described as if eaten out of image, flat shoulder, shoulders",8vDbP6xD36MAFSAFC,23,1,0.5995656751637417,"(0.498,0.651]"
K,boy sitting on knees with feet behind him and hands out,TswNa6hfiGwkWHMgB,6,0,0.6333939967642697,"(0.498,0.651]"
L,"looking right with knees kinda bent with hand out in front, diamond head, yes looks like its about to kneel",ogPZPPCKpGn4votMa,46,3,0.5344214488441542,"(0.498,0.651]"
A,"The chicken dance one that Hera described, One food in the air, one on the ground Facing right, The feet face left and one foot is up to the knee level The head faces to the right They have the arm on the left up in the air, with the elbow the same height as the top of head",5ygBYimhnLq4Bcb2N,13,1,0.7966253812838906,"(0.651,0.825]"
B,"kneeling head forward feet showing, praying, triangle",BTbGhXZvjdSFubTBg,20,1,0.7375955525120148,"(0.651,0.825]"
C,"Okay so to make this quick, this quick, this was the first one, it's a Olympic RUNNER passaging the line but this time going left, they have both arms in the air like celebrating, No legs zuda",47tccL2hHpmjgZT8o,14,1,0.7000030236480872,"(0.651,0.825]"
D,"Standing, facing left, arms out in front",ajePseikJxYBmnFiL,58,4,0.6634446281327346,"(0.651,0.825]"
E,Rabbit,t3d4LuHZFazCzHhYq,45,3,0.7428751015628885,"(0.651,0.825]"
F,"Facing to the right, in sitting position, can see foot extended to the left, sorry character facing LEFT",omQAFChFFHAuAbPT3,3,0,0.6517470607194259,"(0.651,0.825]"
G,"two arms to right like a fan dance, head falling off to left, wearing a skirt out to left, little shoulder under head points to left",hZ2XNN9DzrhuXEEKk,21,1,0.6753902122374275,"(0.651,0.825]"
H,The person has a diamond head facing towards you with no arms or legs and looks like its in something,g6tPwYeFzT3Cer5qC,19,1,0.7110364097380049,"(0.651,0.825]"
I,"figure looks like an ice skater, figure is facing left",aJmxCcm4qPQKzrTZA,26,2,0.6807109631524837,"(0.651,0.825]"
J,rectangle,Z2WAkYpWiXwuGcdME,49,4,0.8164786339253016,"(0.651,0.825]"
K,Woman kneeling holding tray to right with heels up Two squares heads',s3guGBwvgJRQvf9vF,48,4,0.8149469882823868,"(0.651,0.825]"
L,squats,yYtSpzsEi4mnTuPrj,42,3,0.6542480684821692,"(0.651,0.825]"
A,Bird man person carrying a small square box bag on their back Bird person is looking down to the left towards their right foot that is raised in the air Like they have stepped in something Has a beak shape on the face and is stood on one leg,uBEeQNkPmETCWMFi8,24,2,0.894572970391703,"(0.825,0.949]"
B,"A person kneeling down, two triangle arms, head tilted down, facing to the right",ASJgHR2N8wCgN32cu,15,1,0.8331588301254519,"(0.825,0.949]"
C,looks like an angel with arms outstretched,3Sj3XTKmk9Rqe4Bim,0,0,0.901047263801888,"(0.825,0.949]"
D,priest or pope,3Sj3XTKmk9Rqe4Bim,22,1,0.8498082561118403,"(0.825,0.949]"
E,"Man facing right, looking down, triangle dog ears",PCRgk3gvjjXXkMKqF,66,5,0.9349098868577838,"(0.825,0.949]"
F,sitting down knees up to chest,gjooqsuf2CPN5AWxi,71,5,0.9376089436722852,"(0.825,0.949]"
G,tango dancer,LzNv7CD7gRuxpk7cQ,58,4,0.9353614923441672,"(0.825,0.949]"
H,Man with no arms and legs,8rdFCKG2CvuTrLnAM,18,1,0.9324663478909794,"(0.825,0.949]"
I,A person with triangles for his body ice skating,6TPknLpCmx5X9X572,66,5,0.899347271099337,"(0.825,0.949]"
J,Broken Square rectangle man,WLGtWa6XCcSnB2FtQ,63,5,0.8671229508216531,"(0.825,0.949]"
K,kneeling nun,8SNDsZXxLcR8895Lq,54,4,0.8584792588325318,"(0.825,0.949]"
L,zig zag legs,cLaK88862bv7MHMuQ,65,5,0.8810063632365934,"(0.825,0.949]"
A,"plague doctor, rock kicker",Ccv6vkdmTr6cnNfC5,54,4,0.9817966627937502,"(0.949,1]"
C,"Person trying to fly, arms reaching out",9AyhLQe5bddaES2Af,22,1,0.9993313276099108,"(0.949,1]"
D,"preacher, book to left",tWcPGsuGdiD2J7Nrw,71,5,0.972887348961994,"(0.949,1]"
E,triangles for ears sitting against wall,tWcPGsuGdiD2J7Nrw,19,1,0.999808206311974,"(0.949,1]"
F,"large body sitting guy, knees up, feet to left",4tr7Qqex9u9SjERvu,67,5,0.949621095637397,"(0.949,1]"
G,dancing lady,K7iDK8xmfJbE9RZZE,68,5,0.949641746440542,"(0.949,1]"
H,swaddled baby,MR4xnrE8c4oCHmZX2,56,4,0.9912406240996824,"(0.949,1]"
I,ice skater,rSMFkjhskBteiyQMB,53,4,0.9566715597896512,"(0.949,1]"
J,"Unfinished rectangle on bottom, box on top in diamond shape",znKKpRy5yMqbmRwJs,67,5,0.9501542922477864,"(0.949,1]"
L,Squatting,xvPneq3RbziGdEArC,2,0,0.977048628723021,"(0.949,1]"
B,"girl with triangle hair or angel, triangle bottom left, square head facing upwards, arm pointed left",tN6MG8BtJwxfpi753,47,3,0.9157649392554356,"(0.825,0.949]"
K,"Praying woman facing right, totally kneeling, toes sticking up on the left",znKKpRy5yMqbmRwJs,24,2,0.8411694660940218,"(0.825,0.949]"
G,belly up guy,FmuScBvZuEj2zegE2,28,2,0.00244966827124088,"[1.9e-10,0.0427]"
I,person with leg behind them standing,oJFB5dkDNtRxZNzec,35,2,0.04122722474742948,"[1.9e-10,0.0427]"
K,seated person facing right,BP9jqaXgDcqoupu9X,50,4,0.01181146436019766,"[1.9e-10,0.0427]"
H,Looks like it is facing forward with one triangle at the bottom right,yf4vLYMpH9j84z98K,56,4,0.02741760096101333,"[1.9e-10,0.0427]"
K,person standing on boat,G74GhYGrsaxrsfYxf,63,5,0.00674028350834051,"[1.9e-10,0.0427]"
F,"guy sitting down facing left, bowed head, knees up",WLGtWa6XCcSnB2FtQ,13,1,0.03856310331091513,"[1.9e-10,0.0427]"
K,seal!,GpF4Ge9YCd7ih3DFr,61,5,0.0310804668234783,"[1.9e-10,0.0427]"
F,"on ground, knees raised, looking left, square head",TZ9ci9hD9LaYzHaJY,21,1,0.00226362241232989,"[1.9e-10,0.0427]"
G,zombie,CNET4E5tvYW37ZevE,36,3,0.01969766141175756,"[1.9e-10,0.0427]"
C,Like a who cares Both hands above shoulders Inverted type,xXhypRAC7tRGakzHn,20,1,0.01647812826931142,"[1.9e-10,0.0427]"
F,looks like a depressed person feet facing left,dBAksjEwZCAZRyqJk,25,2,0.05945480767122554,"(0.0427,0.104]"
J,scarecrow,QeHxf8rJXN8MCSKYR,39,3,0.05487707402025221,"(0.0427,0.104]"
B,"arms stretched out both sides, kneeling, legs behind, looks like the figure has a tie on, hands are both sides",HzMWt9PN89uNHBpS8,22,1,0.09214253477988762,"(0.0427,0.104]"
C,"Arms outstretched upwards Diamond for a head, the mouse doesn't, neither does the kicking low, does a ghost have outstretched arms upwards",idfdowLZKpkzB8ypa,23,1,0.0581100344764159,"(0.0427,0.104]"
I,"Man striking a pose, back leg up and pointing to the right Head is tilted square on two stacked triangles, *triangles",PCRgk3gvjjXXkMKqF,39,3,0.06219457738049294,"(0.0427,0.104]"
J,squarish one,sijMDqp4oocvXG8Sv,26,2,0.10119890113992364,"(0.0427,0.104]"
B,"person on their knees one arm up and out to the right, the other to the left one leg stretched out behind them head facing downwards",HQCyESfw7Bwg5LM3Q,30,2,0.07798067561106485,"(0.0427,0.104]"
B,bullhorn,MM87KaCiwe9vRcvbi,30,2,0.04863484871444557,"(0.0427,0.104]"
D,"arms and feet pointing left, looks like he's reading a book, nothing on right side",hu2zy5uGrN4qJ7qqe,32,2,0.07559180500115532,"(0.0427,0.104]"
H,"straight up body but curves to the right slightly at the bottom, no arms or legs, no hands, no arms, Almost hexagon body, but has a bit at the bottom right",znSiJdhs7sWk5xhgA,7,0,0.09863467321350444,"(0.0427,0.104]"
L,"Triangle pointing out to right-hand side of picture Looks like a soldier carrying a gun, Legs in a zig zag, Head slightly to the right of shoulders, Flat back on left-hand side, Gun pointing to right-hand side, Not left, Clear",cLaK88862bv7MHMuQ,5,0,0.15423982320546187,"(0.104,0.181]"
G,Select the figure that looks like a horse with extended leg and head backwards,GfdodQMJHhNodveqQ,14,1,0.15295028875842298,"(0.104,0.181]"
D,"candle shape, facing left, with bucket, ok bishop",mFydM2BjifgM589Kq,26,2,0.16956570434032084,"(0.104,0.181]"
G,"the only one that doesn't look like a person, has no arms no legs no body, kind of looks like a windmill",rTdgorcZpRzAdoR3G,39,3,0.12629725839624198,"(0.104,0.181]"
G,"Looks like an abstract painting, the only one there that does Two triangles on the right the box on the top on the left and then a backwards L on the left",znKKpRy5yMqbmRwJs,13,1,0.1589678599908858,"(0.104,0.181]"
C,goalie,p8CZhTq5mEiuypAfk,46,3,0.14293420542608423,"(0.104,0.181]"
B,"two triangles facing out from body, diamond (head) is above triangle which is not fully connected to body, small triangle on left side on the floor",hqPW2hTEhEE5ANa9u,8,0,0.12121566854745132,"(0.104,0.181]"
K,Looks like a kneeling man with a bowl in his hand looking to your right,rTdgorcZpRzAdoR3G,6,0,0.10565688397177306,"(0.104,0.181]"
G,"the graceful one doing the splits kind of with hands in the air head on a slant to the left, to triangles on the right side",znSiJdhs7sWk5xhgA,58,4,0.16242279183317246,"(0.104,0.181]"
L,kneeling in zig zag pose hands pointing right,2gkxKTcPdQews5qTX,68,5,0.16143310479469472,"(0.104,0.181]"
C,"both hands in the air to the sides, no legs, they are leaning left",7iF9MxsD2YYEcq3uq,1,0,0.23214168227131116,"(0.181,0.268]"
C,Goalkeeper!,Ho7KBcTdiQgiorfmE,60,5,0.24471910315857695,"(0.181,0.268]"
I,"leaning on one foot to the left, with tail or other foot in the air on the right",2Csg2Snzrpkud2YRi,59,4,0.25133934522324325,"(0.181,0.268]"
L,"facing right, in prayer pose, arms to right, no feet visible",omQAFChFFHAuAbPT3,9,0,0.2037282059907255,"(0.181,0.268]"
L,"kneeling facing right, both arms in one triangle to right, kneeling, feet behind as triangle",8vDbP6xD36MAFSAFC,13,1,0.20161467087198895,"(0.181,0.268]"
A,dancing guy nose downwards,voSMQaG9H4nC4jy32,39,3,0.2518802369418767,"(0.181,0.268]"
H,"diamond on the head in the centre with the bottom turning to the right, diamond in the centre then what looks like shoulders, then straight down both sides",S229J9M75mRCjm23C,0,0,0.2351181654711758,"(0.181,0.268]"
L,"shape is bent at the knees with a v shape on the right side, the shape looks like its crouching",HQFFuFvRujP3TicZT,23,1,0.24709236718166672,"(0.181,0.268]"
B,Ponytail triangle image,TNRYprBpNcgCrb2HF,37,3,0.20580815817952391,"(0.181,0.268]"
J,diamond on flat top,2Csg2Snzrpkud2YRi,23,1,0.23759574177635504,"(0.181,0.268]"
J,"Straight back, fat stomach, fat man, triangle foot, to the right, diamond head, standing, left, one hand yes, FAT MAN",93ZvRh5AYPNeTJxjv,21,1,0.374558790973786,"(0.268,0.375]"
L,praying slim one facing right no bumps on the back,GPXXTJBweJggYMYrF,64,5,0.329927549849948,"(0.268,0.375]"
J,"Diamond head, flat back, feet facing to the right, arm facing right, Standing, Very square shape but cut outs on the right side where feet and arm would be",57QkWqXASdPMDFRmA,19,1,0.3642261675614136,"(0.268,0.375]"
K,"square head on square neck facing the right, looks like kneeling",QTLcapnjShjWX3s4t,63,5,0.31962806604287763,"(0.268,0.375]"
K,"ok it looks like a woman in a dress praying, facing right, kneeling, but it's a triangle, but kinda a rectangle, her hands are straight out",LsnHGPbRLPabWRBSi,6,0,0.34397139776459623,"(0.268,0.375]"
G,"head tilted to the right of body, arm and legs forming C shape, on right side, big left leg flat on bottom",GpF4Ge9YCd7ih3DFr,53,4,0.29103236165227914,"(0.268,0.375]"
I,ice skating to the left,3QfyJMSuR6NqnvyjZ,49,4,0.3665592308008778,"(0.268,0.375]"
A,"two feet, one on ground and one kicking, both pointed left, head pointed right",oHLkd73zMwDSpso8k,69,5,0.33830848288922627,"(0.268,0.375]"
I,karate,Z2WAkYpWiXwuGcdME,66,5,0.3382541777923675,"(0.268,0.375]"
L,facing right **original** man praying,JnYAkqq7mqk9Gxdse,40,3,0.3411749029650991,"(0.268,0.375]"
J,"Okay, this is the one where the square diamond is balanced on the long, flat surface",MyRbvfzsvHgTGSNRY,27,2,0.44536882691592034,"(0.375,0.498]"
K,"kneeling, facing right, feet flicked to the left",g65Cv6YtLsdvZiRSX,69,5,0.41072315858334857,"(0.375,0.498]"
E,two triangles on a square head,QTLcapnjShjWX3s4t,50,4,0.4928475455613927,"(0.375,0.498]"
G,trapezoid at the bottom leaning right,LfuChcnEB54q8Ztys,54,4,0.4063131095087786,"(0.375,0.498]"
B,Small mouse looking upwards for cheese One raised square ear and one lower triangle ear Small triangle on the left close to the floor,uBEeQNkPmETCWMFi8,58,4,0.444922637227095,"(0.375,0.498]"
A,"facing to the left, rhino, head back, arms up to the right, both legs facing left",AdiA5JEZBKJ4F5r4i,46,3,0.43414387884953154,"(0.375,0.498]"
A,"the sad person with strange head, diamond on the back, left leg in the air",YLCrDGMMiennGjggY,30,2,0.44949703183450046,"(0.375,0.498]"
B,"square head facing right, kneeling, arms behind (looks like a wing) triangle out of head looking like a speech bubble, small triangle feet on left",8vDbP6xD36MAFSAFC,20,1,0.3808063213293859,"(0.375,0.498]"
C,"Two hands to the top, half body",vHHRDD5s36Ya2xGvS,36,3,0.4283721890452658,"(0.375,0.498]"
G,"almost laying down, body facing right with one hand high and one low and head hanging back",MDLyuv29jevaGLSeT,17,1,0.5845984014216945,"(0.498,0.651]"
K,Someone kneeling bowl to the right,6ZtMrReWRYFFydpHK,51,4,0.6393629069699547,"(0.498,0.651]"
B,mouse with big ears,idfdowLZKpkzB8ypa,62,5,0.515898110272268,"(0.498,0.651]"
B,mouse with big ears,idfdowLZKpkzB8ypa,38,3,0.515898110272268,"(0.498,0.651]"
I,"this looks like a ballet dancer with a leg stretched back, but the leg is a triangle and the head is a square, the chest is two triangles on the left",byWRCj2bTz2Guefog,1,0,0.6006855962053554,"(0.498,0.651]"
I,"on one leg with two triangle arms pointing the same way, looks like a figure skater, yes a r",H8WzWCYTYHQr8QQiy,47,3,0.6428901400326916,"(0.498,0.651]"
I,"kick, 2 triangles on left, 2 triangles on left, back kick, one foot on ground",4mKoevW3ykd2FDr7L,71,5,0.5065475577430703,"(0.498,0.651]"
I,"This looks like the ballet dancer with one leg in the air, facing to the right, both arms left",NEo4TpvQSgpf5jZNx,30,2,0.6017574685323022,"(0.498,0.651]"
C,no legs hands waving in air,2gkxKTcPdQews5qTX,70,5,0.6358874652670837,"(0.498,0.651]"
K,"Kneeling nun, book on the right, feet on the left, diamond head, looking straight ahead, Outfit looks like it may have a collar",MM87KaCiwe9vRcvbi,14,1,0.6802244804327799,"(0.651,0.825]"
E,"Looks like rabbit, Flat back on left, Head looking to the right",Ho7KBcTdiQgiorfmE,8,0,0.8043818202783477,"(0.651,0.825]"
G,Looks like a shoe with the heel on the right hand side slightly off the ground,2gkxKTcPdQews5qTX,22,1,0.7540714351550909,"(0.651,0.825]"
I,"Standing with one leg hands facing left, straight",K7iDK8xmfJbE9RZZE,6,0,0.7310784106157909,"(0.651,0.825]"
E,sitting down facing right with head down and 2 triangles on their head,PF2Wo9cXvN4eYEgQm,48,4,0.7228662320106779,"(0.651,0.825]"
I,"balancing on one leg, leg out",XJWjbBteCLNDAtjaR,59,4,0.8126375676346249,"(0.651,0.825]"
I,looks like someone figure skating or ice skating facing the left with their leg sticking out on the right,AdiA5JEZBKJ4F5r4i,22,1,0.723314500047651,"(0.651,0.825]"
L,crouching,cCSd3v7a6AH8fHsJE,58,4,0.671891389395259,"(0.651,0.825]"
F,"The body is in a slumped position Head on the right side and feet pointing to the left, The head is tipped slightly forward, Only lying down person I can see, ie sat down, The legs point left with the legs bent and the knee pointing up, The foot points up to the top left",jqbckBkDqPTfmnAmt,2,0,0.7447343282003928,"(0.651,0.825]"
F,sitting with leg to the left,FEPXqBHpf4Q5CfCju,63,5,0.7972102672099062,"(0.651,0.825]"
E,rabbit ears,htub6itv8siAtQv22,27,2,0.918646404151432,"(0.825,0.949]"
A,dinosaur carrying square on shoulder,G74GhYGrsaxrsfYxf,44,3,0.8991674387477872,"(0.825,0.949]"
F,"this one looks like a man sitting down, leg to the left, looks sad and sulking lol, just sat there bored, no arms",rHhNxKwZ5tqhMuiAF,5,0,0.8710785793426242,"(0.825,0.949]"
