workerid,proliferate.condition,button_rt,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
3019,foobar,,,,,,,,0.0-3.0-1.3,,[],,,,,144149,,10,spr-buttons,feedback,[],
3019,foobar,22475,True,I,,,,PCRgk3gvjjXXkMKqF,0.0-3.0-0.4,7,[],I,,,"[{'role': 'speaker', 'text': 'Man striking a pose, back leg up and pointing to the right Head is tilted square on two stacked triangles', 'playerId': 'HrxvJAFPtJCGLf2Ez'}, {'role': 'speaker', 'text': '*triangles', 'playerId': 'HrxvJAFPtJCGLf2Ez'}]",166624,,11,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.4,,[],,,,,167533,,12,spr-buttons,feedback,[],
3019,foobar,5428,True,F,,,,3NRHD2hCEgJ74Q4b2,0.0-3.0-0.5,4,[],F,,,"[{'role': 'speaker', 'text': 'person sitting down facing left', 'playerId': 'eeCGATqzhP6qdRBP6'}]",172962,,13,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.5,,[],,,,,173869,,14,spr-buttons,feedback,[],
3019,foobar,27311,True,D,,,,hu2zy5uGrN4qJ7qqe,0.0-3.0-0.6,5,[],D,,,"[{'role': 'speaker', 'text': ""arms and feet pointing left, looks like he's reading a book"", 'playerId': 'xwCpnpj4eoCiFYeCE'}, {'role': 'speaker', 'text': 'nothing on right side', 'playerId': 'xwCpnpj4eoCiFYeCE'}]",201182,,15,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.6,,[],,,,,202085,,16,spr-buttons,feedback,[],
3019,foobar,8579,True,K,,,,8SNDsZXxLcR8895Lq,0.0-3.0-0.7,3,[],K,,,"[{'role': 'speaker', 'text': 'kneeling nun', 'playerId': '5Z84RxNyiQvR4MDQB'}]",210666,,17,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.7,,[],,,,,211573,,18,spr-buttons,feedback,[],
3019,foobar,7743,True,F,,,,d3pirdbXLaHdgxR9t,0.0-3.0-0.8,4,[],F,,,"[{'role': 'speaker', 'text': 'person sitting on their bottom', 'playerId': 'YvaYGp3i8g88dxJR7'}]",219317,,19,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.8,,[],,,,,220235,,20,spr-buttons,feedback,[],
3019,foobar,6515,True,C,,,,FfK5QXXSw833vwHKX,0.0-3.0-0.9,10,[],C,,,"[{'role': 'speaker', 'text': 'the guy is leaning left with his arms up kind of like ""but why""', 'playerId': '6iMbQKiFyJ2YwPaeo'}]",226752,,21,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.9,,[],,,,,227659,,22,spr-buttons,feedback,[],
3019,foobar,7975,True,I,,,,4mKoevW3ykd2FDr7L,0.0-3.0-0.10,7,[],I,,,"[{'role': 'speaker', 'text': 'kick', 'playerId': 'vwpmmXPfWPvNcd9RA'}, {'role': 'speaker', 'text': '2 triangles on left', 'playerId': 'vwpmmXPfWPvNcd9RA'}, {'role': 'speaker', 'text': '2 triangles on left, back kick, one foot on ground', 'playerId': 'vwpmmXPfWPvNcd9RA'}]",235636,,23,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.10,,[],,,,,236543,,24,spr-buttons,feedback,[],
3019,foobar,5584,True,A,,,,pAtG6vt3AyaJypa2j,0.0-3.0-0.11,8,[],A,,,"[{'role': 'speaker', 'text': 'looks like a person walking, one leg on the ground, the other leg is in the air and to the left', 'playerId': 'kNihCF3o2LNDkwQs5'}]",242128,,25,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.11,,[],,,,,243036,,26,spr-buttons,feedback,[],
3019,foobar,6485,True,F,,,,FEPXqBHpf4Q5CfCju,0.0-3.0-0.12,4,[],F,,,"[{'role': 'speaker', 'text': 'sitting with leg to the left', 'playerId': 'KChzeps4GeL2rFbEh'}]",249522,,27,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.12,,[],,,,,250429,,28,spr-buttons,feedback,[],
3019,foobar,12396,True,H,,,,pAtG6vt3AyaJypa2j,0.0-3.0-0.13,11,[],H,,,"[{'role': 'speaker', 'text': 'half hexagon left side of body', 'playerId': '3D7MbrSZL62xJBhib'}]",262826,,29,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.13,,[],,,,,263735,,30,spr-buttons,feedback,[],
3019,foobar,8303,True,I,,,,6TPknLpCmx5X9X572,0.0-3.0-0.14,7,[],I,,,"[{'role': 'speaker', 'text': 'A person with triangles for his body ice skating', 'playerId': 'QdpCSDuYmuT3niXiK'}]",272038,,31,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.14,,[],,,,,272948,,32,spr-buttons,feedback,[],
3019,foobar,4867,True,A,,,,YLCrDGMMiennGjggY,0.0-3.0-0.15,8,[],A,,,"[{'role': 'speaker', 'text': 'the sad person with strange head', 'playerId': '9KnsNqjRjt4q7CtbN'}, {'role': 'speaker', 'text': 'diamond on the back, left leg in the air', 'playerId': '9KnsNqjRjt4q7CtbN'}]",277816,,33,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.15,,[],,,,,278735,,34,spr-buttons,feedback,[],
3019,foobar,5675,True,C,,,,vHHRDD5s36Ya2xGvS,0.0-3.0-0.16,10,[],C,,,"[{'role': 'speaker', 'text': 'Two hands to the top, half body', 'playerId': 'R7ioWHKEJCBidQWRz'}]",284411,,35,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.16,,[],,,,,285315,,36,spr-buttons,feedback,[],
3019,foobar,27108,True,A,,,,AdiA5JEZBKJ4F5r4i,0.0-3.0-0.17,8,[],A,,,"[{'role': 'speaker', 'text': 'facing to the left, rhino, head back, arms up to the right, both legs facing left', 'playerId': 'Jm5k7ECi4X8Fbcv5Y'}]",312423,,37,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.17,,[],,,,,313342,,38,spr-buttons,feedback,[],
3019,foobar,4226,True,I,,,,3QfyJMSuR6NqnvyjZ,0.0-3.0-0.18,7,[],I,,,"[{'role': 'speaker', 'text': 'ice skating to the left', 'playerId': 'da9qQSRFWpcgTxJHM'}]",317569,,39,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.18,,[],,,,,318479,,40,spr-buttons,feedback,[],
3019,foobar,4472,True,F,,,,acL8Dhxe4PDAn42od,0.0-3.0-0.19,4,[],F,,,"[{'role': 'speaker', 'text': 'seated, facing left, knees bent, one foot showing', 'playerId': 'dsSQPa7CdRfAk5fn8'}, {'role': 'listener', 'text': 'tree dude', 'playerId': '62hdtatPoTPryWMMY'}, {'role': 'listener', 'text': 'leaning against tree guy', 'playerId': 'jtbZ4XfDnEkv55ut4'}, {'role': 'speaker', 'text': 'yes, tree dude', 'playerId': 'dsSQPa7CdRfAk5fn8'}, {'role': 'listener', 'text': 'Sad guy', 'playerId': 'FXYXhnXqQw4DFh5eo'}]",322952,,41,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.19,,[],,,,,323858,,42,spr-buttons,feedback,[],
3019,foobar,43166,True,B,,,,awMBFij9Yo8w2nA5K,0.0-3.0-0.20,6,[],B,,,"[{'role': 'speaker', 'text': 'The one I said the left triangle looks like a tail', 'playerId': 'tFxPDpxwB3TJg5B8c'}, {'role': 'speaker', 'text': ""Diamond head The bottom point connects to the point of two different triangles The right one doesn't connect to anything The left one attaches to a pentagon base"", 'playerId': 'tFxPDpxwB3TJg5B8c'}]",367016,,43,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.20,,[],,,,,367923,,44,spr-buttons,feedback,[],
3019,foobar,5677,False,H,,,,yf4vLYMpH9j84z98K,0.0-3.0-0.21,9,[],G,,,"[{'role': 'speaker', 'text': 'Looks like it is facing forward with one triangle at the bottom right', 'playerId': 'fRQb9DJBabAZCcAjY'}]",373601,,45,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.21,,[],,,,,374507,,46,spr-buttons,feedback,[],
3019,foobar,4190,True,C,,,,6cWDb4KB2JkQYoEn8,0.0-3.0-0.22,10,[],C,,,"[{'role': 'speaker', 'text': 'flying angel, outstretched arms, going to the left', 'playerId': 'hMtbTjcXoP7mcPqWm'}]",378698,,47,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.22,,[],,,,,379606,,48,spr-buttons,feedback,[],
3019,foobar,16090,False,L,,,,JnYAkqq7mqk9Gxdse,0.0-3.0-0.23,6,[],B,,,"[{'role': 'speaker', 'text': 'facing right **original** man praying', 'playerId': 'KgdEYahjHpGSFCw4r'}]",395697,,49,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.23,,[],,,,,396606,,50,spr-buttons,feedback,[],
3019,foobar,24556,True,G,,,,MDLyuv29jevaGLSeT,0.0-3.0-0.24,9,[],G,,,"[{'role': 'speaker', 'text': 'almost laying down, body facing right with one hand high and one low and head hanging back', 'playerId': 'X8fyxirwxbpnvRKyy'}]",421173,,51,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.24,,[],,,,,422095,,52,spr-buttons,feedback,[],
3019,foobar,21206,False,K,,,,LsnHGPbRLPabWRBSi,0.0-3.0-0.25,1,[],L,,,"[{'role': 'speaker', 'text': 'ok it looks like a woman in a dress praying', 'playerId': '8E5cNEk3uBc5sktkX'}, {'role': 'listener', 'text': 'Aimed right', 'playerId': '2RCjqweynJHvehBGo'}, {'role': 'speaker', 'text': 'facing right', 'playerId': '8E5cNEk3uBc5sktkX'}, {'role': 'listener', 'text': 'facing left', 'playerId': 'bhgdLERsJZsyygLSq'}, {'role': 'listener', 'text': 'Kneeling', 'playerId': '2RCjqweynJHvehBGo'}, {'role': 'listener', 'text': 'not the crouching one right', 'playerId': 'bohdK5Fufz9C4SewN'}, {'role': 'speaker', 'text': 'kneeling', 'playerId': '8E5cNEk3uBc5sktkX'}, {'role': 'listener', 'text': 'the one whose left side is like a rectangle', 'playerId': 'bhgdLERsJZsyygLSq'}, {'role': 'listener', 'text': 'it looks similar to the other praying one right', 'playerId': 'bohdK5Fufz9C4SewN'}, {'role': 'listener', 'text': 'or is it the one that looks like a swaddled baby', 'playerId': 'bhgdLERsJZsyygLSq'}, {'role': 'listener', 'text': 'Kneeling, arms to the right, upright', 'playerId': '2RCjqweynJHvehBGo'}, {'role': 'speaker', 'text': ""but it's a triangle"", 'playerId': '8E5cNEk3uBc5sktkX'}, {'role': 'speaker', 'text': 'but kinda a rectangle', 'playerId': '8E5cNEk3uBc5sktkX'}, {'role': 'speaker', 'text': 'her hands are straight out', 'playerId': '8E5cNEk3uBc5sktkX'}]",443303,,53,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.25,,[],,,,,444213,,54,spr-buttons,feedback,[],
3019,foobar,10785,True,I,,,,2Csg2Snzrpkud2YRi,0.0-3.0-0.26,7,[],I,,,"[{'role': 'speaker', 'text': 'leaning on one foot to the left, with tail or other foot in the air on the right', 'playerId': 'DugA5xyi4CvXJWvaC'}]",454998,,55,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.26,,[],,,,,455911,,56,spr-buttons,feedback,[],
3019,foobar,34397,False,B,,,,oXTMu3q59e3nffGz3,0.0-3.0-0.27,3,[],K,,,"[{'role': 'speaker', 'text': 'angel', 'playerId': 'LTS4YALfJnHNGsMfu'}, {'role': 'speaker', 'text': 'hera - seal has got a little tail flick on left side', 'playerId': 'LTS4YALfJnHNGsMfu'}]",490309,,57,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.27,,[],,,,,491214,,58,spr-buttons,feedback,[],
3019,foobar,3043,True,I,,,,2928FF7GcrkeFiDkh,0.0-3.0-0.28,7,[],I,,,"[{'role': 'speaker', 'text': 'figure skater', 'playerId': '5L7PZWTLhnYMGQE8b'}]",494257,,59,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.28,,[],,,,,495161,,60,spr-buttons,feedback,[],
3019,foobar,10088,False,L,,,,8vDbP6xD36MAFSAFC,0.0-3.0-0.29,6,[],B,,,"[{'role': 'speaker', 'text': 'kneeling facing right, both arms in one triangle to right, kneeling, feet behind as triangle', 'playerId': 'JPJgMw5EzQBQ6gw9a'}]",505250,,61,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.29,,[],,,,,506169,,62,spr-buttons,feedback,[],
3019,foobar,8266,True,A,,,,Ccv6vkdmTr6cnNfC5,0.0-3.0-0.30,8,[],A,,,"[{'role': 'speaker', 'text': 'plague doctor, rock kicker', 'playerId': 'osdJLtm3pRz9sdzmK'}]",514436,,63,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.30,,[],,,,,515346,,64,spr-buttons,feedback,[],
3019,foobar,9614,False,K,,,,BP9jqaXgDcqoupu9X,0.0-3.0-0.31,0,[],E,,,"[{'role': 'speaker', 'text': 'seated person facing right', 'playerId': 'MjgM5qp98eAX4zuZL'}]",524961,,65,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.31,,[],,,,,525871,,66,spr-buttons,feedback,[],
3019,foobar,4330,True,I,,,,rSMFkjhskBteiyQMB,0.0-3.0-0.32,7,[],I,,,"[{'role': 'speaker', 'text': 'ice skater', 'playerId': 'PzsrjpFbCRkuAMq8B'}]",530202,,67,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.32,,[],,,,,531109,,68,spr-buttons,feedback,[],
3019,foobar,31422,False,B,,,,iHNnNCnSAx2TYjDhf,0.0-3.0-0.33,9,[],G,,,"[{'role': 'speaker', 'text': '5', 'playerId': '2ub9Fg5YrCita2F2y'}]",562532,,69,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.33,,[],,,,,563457,,70,spr-buttons,feedback,[],
3019,foobar,8331,True,J,,,,sijMDqp4oocvXG8Sv,0.0-3.0-0.34,2,[],J,,,"[{'role': 'speaker', 'text': 'squarish one', 'playerId': 'FQQrSsuYhM8jdKhTz'}]",571788,,71,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.34,,[],,,,,572697,,72,spr-buttons,feedback,[],
3019,foobar,17613,False,G,,,,LfuChcnEB54q8Ztys,0.0-3.0-0.35,11,[],H,,,"[{'role': 'speaker', 'text': 'trapezoid at the bottom leaning right', 'playerId': 'Dr6TQXga6KydoDzMN'}]",590311,,73,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.35,,[],,,,,591226,,74,spr-buttons,feedback,[],
3019,foobar,10280,False,B,,,,MM87KaCiwe9vRcvbi,0.0-3.0-0.36,9,[],G,,,"[{'role': 'speaker', 'text': 'bullhorn', 'playerId': '3DR3LKCnkxsbbDYdm'}]",601506,,75,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.36,,[],,,,,602416,,76,spr-buttons,feedback,[],
3019,foobar,18223,True,J,,,,93ZvRh5AYPNeTJxjv,0.0-3.0-0.37,2,[],J,,,"[{'role': 'speaker', 'text': 'Straight back', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'speaker', 'text': 'triangle foot', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'speaker', 'text': 'to the right', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'listener', 'text': 'what position', 'playerId': 'EigvT8eA8dqhuxwk6'}, {'role': 'speaker', 'text': 'diamond head', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'speaker', 'text': 'standing', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'listener', 'text': 'straight edge on left Back', 'playerId': 'eJA6FpeTKabMYR8rb'}, {'role': 'listener', 'text': 'one triangle hand', 'playerId': '5a7w57CMsYw6nbJgN'}, {'role': 'speaker', 'text': 'left', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'speaker', 'text': 'one hand yes', 'playerId': 'dyTDDFiSuSCvwZD9b'}, {'role': 'listener', 'text': 'straight back', 'playerId': '5a7w57CMsYw6nbJgN'}]",620639,,77,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.37,,[],,,,,621559,,78,spr-buttons,feedback,[],
3019,foobar,21478,False,B,,,,tN6MG8BtJwxfpi753,0.0-3.0-0.38,7,[],I,,,"[{'role': 'speaker', 'text': 'girl with triangle hair or angel', 'playerId': 'RT59wEgXZvCcKr8pw'}, {'role': 'speaker', 'text': 'triangle bottom left', 'playerId': 'RT59wEgXZvCcKr8pw'}, {'role': 'speaker', 'text': 'square head facing upwards', 'playerId': 'RT59wEgXZvCcKr8pw'}, {'role': 'speaker', 'text': 'arm pointed left', 'playerId': 'RT59wEgXZvCcKr8pw'}]",643037,,79,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.38,,[],,,,,643947,,80,spr-buttons,feedback,[],
3019,foobar,7629,True,F,,,,rHhNxKwZ5tqhMuiAF,0.0-3.0-0.39,4,[],F,,,"[{'role': 'speaker', 'text': 'this one looks like a man sitting down', 'playerId': 'FavLJQrT3u2zqtypC'}, {'role': 'speaker', 'text': 'leg to the left', 'playerId': 'FavLJQrT3u2zqtypC'}, {'role': 'speaker', 'text': 'looks sad and sulking lol', 'playerId': 'FavLJQrT3u2zqtypC'}, {'role': 'listener', 'text': 'no arms', 'playerId': '8EtzDGtxpchtoMmvu'}, {'role': 'speaker', 'text': 'just sat there bored', 'playerId': 'FavLJQrT3u2zqtypC'}, {'role': 'speaker', 'text': 'no arms', 'playerId': 'FavLJQrT3u2zqtypC'}]",651577,,81,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.39,,[],,,,,652486,,82,spr-buttons,feedback,[],
3019,foobar,4093,False,L,,,,xvPneq3RbziGdEArC,0.0-3.0-0.40,6,[],B,,,"[{'role': 'speaker', 'text': 'Squatting', 'playerId': 'yFk7LEDg8Edgyx5Gd'}]",656580,,83,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.40,,[],,,,,657489,,84,spr-buttons,feedback,[],
3019,foobar,25101,True,F,,,,TZ9ci9hD9LaYzHaJY,0.0-3.0-0.41,4,[],F,,,"[{'role': 'speaker', 'text': 'on ground', 'playerId': 'GZh7aAvHM3rAtA2Hk'}, {'role': 'speaker', 'text': 'knees raised', 'playerId': 'GZh7aAvHM3rAtA2Hk'}, {'role': 'speaker', 'text': 'looking left', 'playerId': 'GZh7aAvHM3rAtA2Hk'}, {'role': 'listener', 'text': 'hands', 'playerId': 'yszfBdDaFb2xZH5aW'}, {'role': 'speaker', 'text': 'square head', 'playerId': 'GZh7aAvHM3rAtA2Hk'}, {'role': 'listener', 'text': 'head leaning forward', 'playerId': 'yszfBdDaFb2xZH5aW'}]",682590,,85,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.41,,[],,,,,683500,,86,spr-buttons,feedback,[],
3019,foobar,10180,False,A,,,,Nh8nE8Qa4C3BkbhD6,0.0-3.0-0.42,3,[],K,,,"[{'role': 'speaker', 'text': 'monster', 'playerId': '5JEmHBEF2C5GGGZkJ'}]",693681,,87,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.42,,[],,,,,694585,,88,spr-buttons,feedback,[],
3019,foobar,4086,True,E,,,,Tg2JqdT9ugXdkqWsC,0.0-3.0-0.43,0,[],E,,,"[{'role': 'speaker', 'text': 'This one looks like a a guy wearing a bunny head, square head, two triangles are ears looking down to the right', 'playerId': '7ZT3RAxSFjc39CDXe'}, {'role': 'speaker', 'text': 'Body is sitting down', 'playerId': '7ZT3RAxSFjc39CDXe'}, {'role': 'speaker', 'text': 'Or look for a square with two triangles on top', 'playerId': '7ZT3RAxSFjc39CDXe'}]",698671,,89,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.43,,[],,,,,699583,,90,spr-buttons,feedback,[],
3019,foobar,13006,False,A,,,,G74GhYGrsaxrsfYxf,0.0-3.0-0.44,9,[],G,,,"[{'role': 'speaker', 'text': 'dinosaur carrying square on shoulder', 'playerId': 'G7t4KfQdMhBApqMvT'}]",712590,,91,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.44,,[],,,,,713509,,92,spr-buttons,feedback,[],
3019,foobar,4078,False,G,,,,CNET4E5tvYW37ZevE,0.0-3.0-0.45,8,[],A,,,"[{'role': 'speaker', 'text': 'zombie', 'playerId': 'dxXnuyKwFTw4bdKd5'}]",717588,,93,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.45,,[],,,,,718492,,94,spr-buttons,feedback,[],
3019,foobar,12175,True,H,,,,g6tPwYeFzT3Cer5qC,0.0-3.0-0.46,11,[],H,,,"[{'role': 'speaker', 'text': 'The person has a diamond head facing towards you with no arms or legs and looks like its in something', 'playerId': 'SyzxCSX67Gx4LQRg7'}]",730668,,95,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.46,,[],,,,,731578,,96,spr-buttons,feedback,[],
3019,foobar,12617,True,C,,,,47tccL2hHpmjgZT8o,0.0-3.0-0.47,10,[],C,,,"[{'role': 'speaker', 'text': ""Okay so to make this quick, this quick, this was the first one, it's a Olympic RUNNER passaging the line but this time going left"", 'playerId': 'EvFdP2G2k6NiphcPW'}, {'role': 'speaker', 'text': 'they have both arms in the air like celebrating', 'playerId': 'EvFdP2G2k6NiphcPW'}, {'role': 'listener', 'text': 'and no legs', 'playerId': 'SrQC27xLPE3vw8aJF'}, {'role': 'speaker', 'text': 'No legs zuda', 'playerId': 'EvFdP2G2k6NiphcPW'}]",744196,,97,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.47,,[],,,,,745103,,98,spr-buttons,feedback,[],
3019,foobar,11294,True,G,,,,2gkxKTcPdQews5qTX,0.0-3.0-0.48,9,[],G,,,"[{'role': 'speaker', 'text': 'Looks like a shoe with the heel on the right hand side slightly off the ground', 'playerId': 'CnKiQ7iNGKke5E9dt'}]",756398,,99,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.48,,[],,,,,757314,,100,spr-buttons,feedback,[],
3019,foobar,13946,True,J,,,,znKKpRy5yMqbmRwJs,0.0-3.0-0.49,2,[],J,,,"[{'role': 'speaker', 'text': 'Unfinished rectangle on bottom, box on top in diamond shape', 'playerId': 'BvaPCcwnMZiHzHzcz'}]",771261,,101,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.49,,[],,,,,772170,,102,spr-buttons,feedback,[],
3019,foobar,5633,True,F,,,,TY9mhHQpa4R5Q5K6H,0.0-3.0-0.50,4,[],F,,,"[{'role': 'speaker', 'text': 'This one looks like a person sat down with their legs pointing to the left', 'playerId': 'wY2uEhHeSSCPuaAb5'}, {'role': 'listener', 'text': 'bent knees', 'playerId': 'P5mFFBLCywApLr7JJ'}, {'role': 'speaker', 'text': 'It kind of looks like bent knees', 'playerId': 'wY2uEhHeSSCPuaAb5'}, {'role': 'listener', 'text': 'feet balanced on their heels', 'playerId': 'zwiWDYioyEXwPuR3b'}, {'role': 'listener', 'text': 'sitting flat', 'playerId': 'gvqNf3uLkqD94uha2'}, {'role': 'speaker', 'text': 'Yes feet on heels!', 'playerId': 'wY2uEhHeSSCPuaAb5'}]",777803,,103,spr-buttons,selection,[],
3019,foobar,,,,,,,,0.0-3.0-1.50,,[],,,,,778712,,104,spr-buttons,feedback,[],
3019,foobar,4454,True,I,,,,AdiA5JEZBKJ4F5r4i,0.0-3.0-0.51,7,[],I,,,"[{'role': 'speaker', 'text': 'looks like someone figure skating or ice skating facing the left with their leg sticking out on the right', 'playerId': 'H75FkJDCL8W22MQFt'}]",783167,,105,spr-buttons,selection,[],
